Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
T1,Chrome 70.0.3538.110,,2018-11-29 13:44:22,2018-11-29 13:44:39,17.381s,PASSED
,,,,,,
Test Cases/To test user will successfully login to application,Chrome 70.0.3538.110,,2018-11-29 13:44:23,2018-11-29 13:44:39,16.504s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:44:23,2018-11-29 13:44:28,4.456s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:44:28,2018-11-29 13:44:34,5.664s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:44:34,2018-11-29 13:44:35,1.072s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:44:35,2018-11-29 13:44:35,0.205s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:44:35,2018-11-29 13:44:35,0.218s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:44:35,2018-11-29 13:44:37,1.666s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:44:37,2018-11-29 13:44:37,0.100s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:44:37,2018-11-29 13:44:38,1.556s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 13:44:38,2018-11-29 13:44:39,0.801s,PASSED
